DATE,INDPRO
1/1/1919,4.8665
2/1/1919,4.6514
3/1/1919,4.517
4/1/1919,4.5976
5/1/1919,4.6245
6/1/1919,4.9203
7/1/1919,5.216
8/1/1919,5.2967
9/1/1919,5.1891
10/1/1919,5.1354
11/1/1919,5.0547
12/1/1919,5.1354
1/1/1920,5.6193
2/1/1920,5.6193
3/1/1920,5.5118
4/1/1920,5.216
5/1/1920,5.3505
6/1/1920,5.4042
7/1/1920,5.2698
8/1/1920,5.2967
9/1/1920,5.1085
10/1/1920,4.8934
11/1/1920,4.4901
12/1/1920,4.2212
1/1/1921,3.9792
2/1/1921,3.8986
3/1/1921,3.791
4/1/1921,3.791
5/1/1921,3.8986
6/1/1921,3.8717
7/1/1921,3.8448
8/1/1921,3.9792
9/1/1921,4.0061
10/1/1921,4.2481
11/1/1921,4.1943
12/1/1921,4.1674
1/1/1922,4.3288
2/1/1922,4.517
3/1/1922,4.7589
4/1/1922,4.5976
5/1/1922,4.8396
6/1/1922,5.0816
7/1/1922,5.0816
8/1/1922,4.974
9/1/1922,5.2429
10/1/1922,5.5387
11/1/1922,5.7806
12/1/1922,5.942
1/1/1923,5.8075
2/1/1923,5.8882
3/1/1923,6.0764
4/1/1923,6.2108
5/1/1923,6.2915
6/1/1923,6.2377
7/1/1923,6.1839
8/1/1923,6.0764
9/1/1923,5.942
10/1/1923,5.9151
11/1/1923,5.9151
12/1/1923,5.7806
1/1/1924,5.9151
2/1/1924,6.0226
3/1/1924,5.9151
4/1/1924,5.7269
5/1/1924,5.4849
6/1/1924,5.2429
7/1/1924,5.1622
8/1/1924,5.3505
9/1/1924,5.5387
10/1/1924,5.6731
11/1/1924,5.7806
12/1/1924,5.942
1/1/1925,6.1302
2/1/1925,6.1302
3/1/1925,6.1302
4/1/1925,6.1839
5/1/1925,6.1571
6/1/1925,6.1033
7/1/1925,6.2646
8/1/1925,6.1571
9/1/1925,6.0764
10/1/1925,6.3184
11/1/1925,6.4528
12/1/1925,6.5335
1/1/1926,6.4259
2/1/1926,6.4259
3/1/1926,6.5066
4/1/1926,6.5066
5/1/1926,6.4528
6/1/1926,6.5335
7/1/1926,6.5604
8/1/1926,6.641
9/1/1926,6.7486
10/1/1926,6.7486
11/1/1926,6.7217
12/1/1926,6.6948
1/1/1927,6.6679
2/1/1927,6.7217
3/1/1927,6.8023
4/1/1927,6.641
5/1/1927,6.6948
6/1/1927,6.6679
7/1/1927,6.5872
8/1/1927,6.5872
9/1/1927,6.4797
10/1/1927,6.3453
11/1/1927,6.3453
12/1/1927,6.3722
1/1/1928,6.5066
2/1/1928,6.5604
3/1/1928,6.6141
4/1/1928,6.5872
