DATE,RETAIL
1947-01-01,9583
1947-02-01,9852
1947-03-01,9769
1947-04-01,9947
1947-05-01,10061
1947-06-01,10146
1947-07-01,10176
1947-08-01,10141
1947-09-01,10462
1947-10-01,10609
1947-11-01,10792
1947-12-01,10842
1948-01-01,10883
1948-02-01,10866
1948-03-01,11021
1948-04-01,11210
1948-05-01,10906
1948-06-01,11173
1948-07-01,11257
1948-08-01,11331
1948-09-01,11230
1948-10-01,11240
1948-11-01,11159
1948-12-01,11404
1949-01-01,10949
1949-02-01,11099
1949-03-01,11191
1949-04-01,11290
1949-05-01,11223
1949-06-01,11217
1949-07-01,10993
1949-08-01,11106
1949-09-01,11263
1949-10-01,11160
1949-11-01,11221
1949-12-01,11052
1950-01-01,11339
1950-02-01,11589
1950-03-01,11674
1950-04-01,11716
1950-05-01,11916
1950-06-01,12345
1950-07-01,13300
1950-08-01,13349
1950-09-01,12694
1950-10-01,12358
1950-11-01,12069
1950-12-01,12959
1951-01-01,13885
1951-02-01,13716
1951-03-01,13021
1951-04-01,12735
1951-05-01,12840
1951-06-01,12792
1951-07-01,12651
1951-08-01,12936
1951-09-01,12855
1951-10-01,13094
1951-11-01,13099
1951-12-01,12924
1952-01-01,13030
1952-02-01,13274
1952-03-01,12890
1952-04-01,13208
1952-05-01,13708
1952-06-01,13885
1952-07-01,13512
1952-08-01,13212
1952-09-01,13430
1952-10-01,14047
1952-11-01,13891
1952-12-01,14266
1953-01-01,14352
1953-02-01,14325
1953-03-01,14418
1953-04-01,14218
1953-05-01,14167
1953-06-01,14146
1953-07-01,14090
1953-08-01,14017
1953-09-01,14007
1953-10-01,14060
1953-11-01,13855
1953-12-01,13719
1954-01-01,13712
1954-02-01,14055
1954-03-01,14020
1954-04-01,13991
1954-05-01,13957
1954-06-01,14272
1954-07-01,13991
1954-08-01,13996
1954-09-01,14073
1954-10-01,14081
1954-11-01,14406
1954-12-01,14671
1955-01-01,14765
1955-02-01,14896
1955-03-01,15005
1955-04-01,15255
1955-05-01,15260
1955-06-01,15126
1955-07-01,15404
1955-08-01,15418
1955-09-01,15677
1955-10-01,15715
1955-11-01,15652
1955-12-01,15531
1956-01-01,15495
1956-02-01,15370
1956-03-01,15663
1956-04-01,15516
1956-05-01,15771
1956-06-01,15797
1956-07-01,15744
1956-08-01,15826
1956-09-01,15906
1956-10-01,15933
1956-11-01,16106
1956-12-01,16193
1957-01-01,16329
1957-02-01,16635
1957-03-01,16453
1957-04-01,16493
1957-05-01,16534
1957-06-01,16820
1957-07-01,16799
1957-08-01,16967
1957-09-01,16841
1957-10-01,16782
1957-11-01,16699
1957-12-01,16647
1958-01-01,16659
1958-02-01,16374
1958-03-01,16319
1958-04-01,16535
1958-05-01,16517
1958-06-01,16476
1958-07-01,16746
1958-08-01,16853
1958-09-01,16745
1958-10-01,16662
1958-11-01,17048
1958-12-01,17605
1959-01-01,17583
1959-02-01,17712
1959-03-01,17860
1959-04-01,17871
1959-05-01,18011
1959-06-01,18175
1959-07-01,18169
1959-08-01,18285
1959-09-01,18046
1959-10-01,18178
1959-11-01,17699
1959-12-01,17617
1960-01-01,18092
1960-02-01,18159
1960-03-01,18139
1960-04-01,18615
1960-05-01,18337
1960-06-01,18312
1960-07-01,18128
1960-08-01,18190
1960-09-01,18173
1960-10-01,18333
1960-11-01,18071
1960-12-01,17939
1961-01-01,17953
1961-02-01,17889
1961-03-01,18078
1961-04-01,17758
1961-05-01,18025
1961-06-01,18159
1961-07-01,18145
1961-08-01,18345
1961-09-01,18377
1961-10-01,18708
1961-11-01,18840
1961-12-01,18847
1962-01-01,19009
1962-02-01,19011
1962-03-01,19331
1962-04-01,19436
1962-05-01,19568
1962-06-01,19317
1962-07-01,19623
1962-08-01,19745
1962-09-01,19804
1962-10-01,20115
1962-11-01,20220
1962-12-01,20216
1963-01-01,20301
1963-02-01,20148
1963-03-01,20309
