DATE,W875RX1
1/1/1959,2426
2/1/1959,2434.8
3/1/1959,2452.7
4/1/1959,2470
5/1/1959,2486.4
6/1/1959,2493.9
7/1/1959,2492
8/1/1959,2477.7
9/1/1959,2477.7
10/1/1959,2480.6
11/1/1959,2497.2
12/1/1959,2525.8
1/1/1960,2537.6
2/1/1960,2539.9
3/1/1960,2542.2
4/1/1960,2551.4
5/1/1960,2557.6
6/1/1960,2557
7/1/1960,2561.9
8/1/1960,2555.4
9/1/1960,2556.1
10/1/1960,2564.1
11/1/1960,2549.4
12/1/1960,2534.5
1/1/1961,2556.6
2/1/1961,2556.8
3/1/1961,2569.4
4/1/1961,2578.3
5/1/1961,2593.7
6/1/1961,2614.5
7/1/1961,2620.7
8/1/1961,2631.9
9/1/1961,2637
10/1/1961,2665.2
11/1/1961,2689.7
12/1/1961,2704.5
1/1/1962,2700.8
2/1/1962,2713.9
3/1/1962,2731.9
4/1/1962,2749
5/1/1962,2752.9
6/1/1962,2756.3
7/1/1962,2769.4
8/1/1962,2772.5
9/1/1962,2775.8
10/1/1962,2785
11/1/1962,2798.3
12/1/1962,2813
1/1/1963,2806.3
2/1/1963,2813.7
3/1/1963,2826.3
4/1/1963,2834.3
5/1/1963,2846.3
6/1/1963,2861
7/1/1963,2862.7
8/1/1963,2872.9
9/1/1963,2893
10/1/1963,2908.9
11/1/1963,2915.8
12/1/1963,2936.6
1/1/1964,2936.3
2/1/1964,2962.7
3/1/1964,2977.8
4/1/1964,2996
5/1/1964,3014.9
6/1/1964,3026.6
7/1/1964,3043
8/1/1964,3061.5
9/1/1964,3074.4
10/1/1964,3076.4
11/1/1964,3099.1
12/1/1964,3128.9
1/1/1965,3134.5
2/1/1965,3151.6
3/1/1965,3167.2
4/1/1965,3178.8
5/1/1965,3199.2
6/1/1965,3208.7
7/1/1965,3230.4
8/1/1965,3247.6
9/1/1965,3268.7
10/1/1965,3305.3
11/1/1965,3328.6
12/1/1965,3346.5
1/1/1966,3353.6
2/1/1966,3370.7
3/1/1966,3389.3
4/1/1966,3388
5/1/1966,3399.6
6/1/1966,3419.3
7/1/1966,3434.6
8/1/1966,3444.1
9/1/1966,3453.4
10/1/1966,3468.5
11/1/1966,3482.4
12/1/1966,3478
1/1/1967,3508.2
2/1/1967,3507.6
3/1/1967,3521.1
4/1/1967,3522.2
5/1/1967,3527.6
6/1/1967,3541.4
7/1/1967,3557.6
8/1/1967,3572.9
9/1/1967,3577.9
10/1/1967,3579.1
11/1/1967,3601.6
12/1/1967,3611.3
1/1/1968,3629.2
2/1/1968,3658.9
3/1/1968,3676.8
4/1/1968,3688
5/1/1968,3710.6
6/1/1968,3728.6
7/1/1968,3751.3
8/1/1968,3765.4
9/1/1968,3785
10/1/1968,3790.5
11/1/1968,3807.9
12/1/1968,3823.3
1/1/1969,3824.3
2/1/1969,3840.1
3/1/1969,3859.1
