DATE,T10Y3M
1/1/1982,1.676
2/1/1982,0.146111111
3/1/1982,0.546521739
4/1/1982,0.527142857
5/1/1982,0.9085
6/1/1982,1.220909091
7/1/1982,2.082857143
8/1/1982,4.057727273
9/1/1982,4.146190476
10/1/1982,2.939
11/1/1982,2.204210526
12/1/1982,2.337272727
1/1/1983,2.34
2/1/1983,2.330526316
3/1/1983,1.846956522
4/1/1983,1.8865
5/1/1983,1.884285714
6/1/1983,1.709090909
7/1/1983,1.9275
8/1/1983,2.106956522
9/1/1983,2.292380952
10/1/1983,2.553
11/1/1983,2.578947368
12/1/1983,2.471904762
1/1/1984,2.41047619
2/1/1984,2.382631579
3/1/1984,2.429545455
4/1/1984,2.5605
5/1/1984,3.185454545
6/1/1984,3.302380952
7/1/1984,2.831428571
8/1/1984,1.815652174
9/1/1984,1.726842105
10/1/1984,2.035909091
11/1/1984,2.647894737
12/1/1984,3.162
1/1/1985,3.364285714
2/1/1985,2.951666667
3/1/1985,3.025238095
4/1/1985,3.212857143
5/1/1985,3.113636364
6/1/1985,2.976
7/1/1985,2.990454545
8/1/1985,2.961363636
9/1/1985,3.04
10/1/1985,2.835909091
11/1/1985,2.305263158
12/1/1985,1.929047619
1/1/1986,1.891904762
2/1/1986,1.413684211
3/1/1986,1.0145
4/1/1986,1.063636364
5/1/1986,1.374761905
6/1/1986,1.402857143
7/1/1986,1.303636364
8/1/1986,1.48047619
9/1/1986,2.095238095
10/1/1986,2.103181818
11/1/1986,1.750555556
12/1/1986,1.43
1/1/1987,1.5065
2/1/1987,1.499473684
3/1/1987,1.482727273
4/1/1987,2.207142857
5/1/1987,2.7665
6/1/1987,2.547727273
7/1/1987,2.567727273
8/1/1987,2.527142857
9/1/1987,2.80047619
10/1/1987,3.169047619
11/1/1987,2.970526316
12/1/1987,3.028181818
1/1/1988,2.661052632
2/1/1988,2.3695
3/1/1988,2.503478261
4/1/1988,2.6355
5/1/1988,2.634761905
6/1/1988,2.257272727
7/1/1988,2.108
8/1/1988,1.960869565
9/1/1988,1.499047619
10/1/1988,1.1985
11/1/1988,0.934
12/1/1988,0.757142857
1/1/1989,0.533
2/1/1989,0.332105263
3/1/1989,0.215454545
4/1/1989,0.213
5/1/1989,0.123181818
6/1/1989,-0.157272727
7/1/1989,-0.1285
8/1/1989,-0.057391304
9/1/1989,0.176
10/1/1989,0.108095238
11/1/1989,-0.06952381
12/1/1989,-0.0435
1/1/1990,0.308571429
2/1/1990,0.471052632
3/1/1990,0.418636364
4/1/1990,0.745
5/1/1990,0.751363636
6/1/1990,0.493333333
7/1/1990,0.596666667
8/1/1990,1.05826087
9/1/1990,1.295263158
10/1/1990,1.319545455
11/1/1990,1.1015
12/1/1990,1.1255
1/1/1991,1.682380952
2/1/1991,1.738421053
3/1/1991,2.0165
4/1/1991,2.213636364
5/1/1991,2.434090909
6/1/1991,2.533
7/1/1991,2.521818182
8/1/1991,2.402272727
9/1/1991,2.2765
10/1/1991,2.383181818
11/1/1991,2.727894737
12/1/1991,2.904285714
1/1/1992,3.126190476
2/1/1992,3.387894737
3/1/1992,3.403636364
4/1/1992,3.641428571
5/1/1992,3.673
6/1/1992,3.516818182
7/1/1992,3.565
8/1/1992,3.386666667
9/1/1992,3.446666667
10/1/1992,3.656190476
11/1/1992,3.667368421
