DATE,T10Y3M,UNRATE,RPIT,PAYEMS,INDPRO,RRS,CORP,HTS,CPIAI
1/1/1982,1.676,8.6,5419.4,90565,48.7979,NA,1.92,0.21,94.4
2/1/1982,0.146111111,8.9,5439.4,90563,49.7942,NA,1.91,0.199,94.7
3/1/1982,0.546521739,9,5435,90434,49.459,NA,2.24,0.194,94.7
4/1/1982,0.527142857,9.3,5466.4,90150,49.0072,NA,2.32,0.206,95
5/1/1982,0.9085,9.4,5468.1,90107,48.6784,NA,2.38,0.203,95.9
6/1/1982,1.220909091,9.6,5445.2,89865,48.5529,NA,2.11,0.193,97
7/1/1982,2.082857143,9.8,5425.2,89521,48.3859,NA,2.19,0.174,97.5
8/1/1982,4.057727273,9.8,5436.7,89363,47.9495,NA,2.61,0.168,97.7
9/1/1982,4.146190476,10.1,5425.8,89183,47.8258,NA,2.69,0.171,97.7
10/1/1982,2.939,10.4,5415.4,88907,47.3656,NA,2.61,0.159,98.1
11/1/1982,2.204210526,10.8,5419.9,88786,47.2148,NA,2.62,0.164,98
12/1/1982,2.337272727,10.8,5451.9,88771,46.8797,NA,2.31,0.176,97.7
1/1/1983,2.34,10.4,5458.2,88990,47.7491,NA,2.15,0.177,97.9
2/1/1983,2.330526316,10.4,5458.5,88917,47.4548,NA,1.94,0.167,98
3/1/1983,1.846956522,10.3,5480.2,89090,47.8516,NA,1.88,0.191,98.1
4/1/1983,1.8865,10.2,5489.2,89364,48.4511,NA,1.78,0.166,98.8
5/1/1983,1.884285714,10.1,5514.5,89644,48.7542,NA,1.63,0.163,99.2
6/1/1983,1.709090909,10.1,5529.9,90021,49.0496,NA,1.63,0.175,99.4
7/1/1983,1.9275,9.4,5562.4,90437,49.7773,NA,1.24,0.184,99.8
8/1/1983,2.106956522,9.5,5555.9,90129,50.3727,NA,1.13,0.198,100.1
9/1/1983,2.292380952,9.2,5604.1,91247,51.098,NA,1.18,0.193,100.4
10/1/1983,2.553,8.8,5668.5,91520,51.4993,NA,1.21,0.208,100.8
11/1/1983,2.578947368,8.5,5703.9,91875,51.727,NA,1.2,0.226,101.1
12/1/1983,2.471904762,8.3,5755.7,92230,51.9886,NA,1.18,0.225,101.4
1/1/1984,2.41047619,8,5777.9,92673,53.0175,NA,1.45,0.212,102.1
2/1/1984,2.382631579,7.8,5819.3,93157,53.2651,NA,1.51,0.251,102.6
3/1/1984,2.429545455,7.8,5856.2,93429,53.5145,NA,1.42,0.243,102.9
4/1/1984,2.5605,7.7,5896.5,93792,53.8319,NA,1.5,0.263,103.3
5/1/1984,3.185454545,7.4,5912.7,94098,54.1204,NA,1.46,0.287,103.5
6/1/1984,3.302380952,7.2,5961.8,94479,54.3133,NA,1.5,0.279,103.7
7/1/1984,2.831428571,7.5,5978.9,94789,54.4644,NA,1.71,0.303,104.1
8/1/1984,1.815652174,7.5,6019.6,95032,54.53,NA,1.76,0.273,104.4
9/1/1984,1.726842105,7.3,6075.2,95344,54.3775,NA,1.69,0.297,104.7
10/1/1984,2.035909091,7.4,6049.7,95629,54.3528,NA,1.31,0.3,105.1
11/1/1984,2.647894737,7.2,6083.4,95982,54.5344,NA,1.19,0.33,105.3
12/1/1984,3.162,7.3,6112.7,96107,54.5608,NA,1.27,0.296,105.5
1/1/1985,3.364285714,7.3,6106.5,96372,54.5342,NA,1.18,0.298,105.7
2/1/1985,2.951666667,7.2,6111.5,96503,54.7019,NA,1.1,0.292,106.3
3/1/1985,3.025238095,7.2,6140.2,96842,54.7739,NA,1.13,0.309,106.8
4/1/1985,3.212857143,7.3,6128.2,97038,54.6662,NA,1.28,0.297,107
5/1/1985,3.113636364,7.2,6144.9,97312,54.7472,NA,1.43,0.291,107.2
